id_specific,extra_key,value_ts,strategy,internal_code,ric,ticker,target_notional,currency,target_contracts,ref_price,advisor_name
DF,dfilabs_BTC_USDT,2025-09-15 23:55,dfilabs,Binance Linear_BTC_USDT_FUTPERP,BTC_USDT,BTC_USDT,102366.94468783143,USD,1,115344.0,DFI Labs
DF,dfilabs_ETH_USDT,2025-09-15 23:55,dfilabs,Binance Linear_ETH_USDT_FUTPERP,ETH_USDT,ETH_USDT,41690.42193854695,USD,1,4522.61,DFI Labs
DF,dfilabs_XRP_USDT,2025-09-15 23:55,dfilabs,Binance Linear_XRP_USDT_FUTPERP,XRP_USDT,XRP_USDT,14315.110695092908,USD,1,2.9939,DFI Labs
DF,dfilabs_BNB_USDT,2025-09-15 23:55,dfilabs,Binance Linear_BNB_USDT_FUTPERP,BNB_USDT,BNB_USDT,122553.48914292805,USD,1,919.79,DFI Labs
DF,dfilabs_SOL_USDT,2025-09-15 23:55,dfilabs,Binance Linear_SOL_USDT_FUTPERP,SOL_USDT,SOL_USDT,41415.2048911241,USD,1,234.02,DFI Labs
DF,dfilabs_TRX_USDT,2025-09-15 23:55,dfilabs,Binance Linear_TRX_USDT_FUTPERP,TRX_USDT,TRX_USDT,124893.95588275911,USD,1,0.34439,DFI Labs
DF,dfilabs_DOGE_USDT,2025-09-15 23:55,dfilabs,Binance Linear_DOGE_USDT_FUTPERP,DOGE_USDT,DOGE_USDT,5467.8049731394285,USD,1,0.26834,DFI Labs
DF,dfilabs_ADA_USDT,2025-09-15 23:55,dfilabs,Binance Linear_ADA_USDT_FUTPERP,ADA_USDT,ADA_USDT,2853.3526331633243,USD,1,0.8626,DFI Labs
DF,dfilabs_AVAX_USDT,2025-09-15 23:55,dfilabs,Binance Linear_AVAX_USDT_FUTPERP,AVAX_USDT,AVAX_USDT,-3393.5050473470455,USD,-1,29.812,DFI Labs
DF,dfilabs_LINK_USDT,2025-09-15 23:55,dfilabs,Binance Linear_LINK_USDT_FUTPERP,LINK_USDT,LINK_USDT,-25339.972746601972,USD,-1,23.569,DFI Labs
