Date,PV
2024-12-25,1005630.775
2024-12-26,1002348.577
2024-12-27,1000884.429
2024-12-28,1005983.769
2024-12-29,1000233.003
2024-12-30,1005149.199
2024-12-31,1002697.294
2025-01-01,1017368.022
2025-01-02,1012460.231
2025-01-03,1015892.534
2025-01-04,1017355.119
2025-01-05,1010292.29
2025-01-06,1014452.621
2025-01-07,1012166.613
2025-01-08,1024873.558
2025-01-09,1020468.527
2025-01-10,1021361.66
2025-01-11,1034300.828
2025-01-12,1029522.225
2025-01-13,1037370.692
2025-01-14,1033045.885
2025-01-15,1048625.402
2025-01-16,1054613.947
2025-01-17,1042850.586
2025-01-18,1049555.719
2025-01-19,1049396.566
2025-01-20,1051645.434
2025-01-21,1043902.735
2025-01-22,1049035.19
2025-01-23,1054279.656
2025-01-24,1063339.619
2025-01-25,1069331.941
2025-01-26,1066772.222
2025-01-27,1066846.718
2025-01-28,1080324.695
2025-01-29,1079558.932
2025-01-30,1072571.172
2025-01-31,1068409.017
2025-02-01,1072041.468
2025-02-02,1083736.581
2025-02-03,1093359.16
2025-02-04,1104140.558
2025-02-05,1092579.928
2025-02-06,1089959.301
2025-02-07,1092185.551
2025-02-08,1086568.221
2025-02-09,1078776.784
2025-02-10,1082571.093
2025-02-11,1094511.454
2025-02-12,1092710.647
2025-02-13,1086670.892
2025-02-14,1080413.317
2025-02-15,1093147.779
2025-02-16,1094773.348
2025-02-17,1094819.681
2025-02-18,1103637.123
2025-02-19,1106309.054
2025-02-20,1095225.589
2025-02-21,1099165.515
2025-02-22,1095768.888
2025-02-23,1101781.197
2025-02-24,1112995.303
2025-02-25,1111053.708
2025-02-26,1110869.034
2025-02-27,1105018.144
2025-02-28,1108425.409
2025-03-01,1128348.407
2025-03-02,1117820.244
2025-03-03,1126930.68
2025-03-04,1144021.532
2025-03-05,1123167.818
2025-03-06,1122189.489
2025-03-07,1118730.063
2025-03-08,1121248.927
2025-03-09,1120361.277
2025-03-10,1123360.862
2025-03-11,1120523.164
2025-03-12,1129732.897
2025-03-13,1129811.546
2025-03-14,1126645.398
2025-03-15,1137247.918
2025-03-16,1134867.008
2025-03-17,1137462.258
2025-03-18,1142684.865
2025-03-19,1134393.558
2025-03-20,1134936.616
2025-03-21,1135173.325
2025-03-22,1136584.693
2025-03-23,1134505.195
2025-03-24,1126571.012
2025-03-25,1123004.176
2025-03-26,1122555.302
2025-03-27,1126384.212
2025-03-28,1129524.103
2025-03-29,1134946.013
2025-03-30,1138583.827
2025-03-31,1151916.068
2025-04-01,1149071.718
2025-04-02,1147958.362
2025-04-03,1144785.941
2025-04-04,1144373.166
2025-04-05,1144454.444
2025-04-06,1151653.598
2025-04-07,1157606.653
2025-04-08,1162389.026
2025-04-09,1161938.925
2025-04-10,1160997.544
2025-04-11,1168392.048
2025-04-12,1171486.585
2025-04-13,1180570.561
2025-04-14,1178848.017
2025-04-15,1184438.304
2025-04-16,1185402.321
2025-04-17,1181270.008
2025-04-18,1177358.566
2025-04-19,1168340.424
2025-04-20,1162679.15
2025-04-21,1175267.273
2025-04-22,1169740.58
2025-04-23,1161077.249
2025-04-24,1144790.622
2025-04-25,1147069.379
2025-04-26,1135205.299
2025-04-27,1148112.817
2025-04-28,1150219.129
2025-04-29,1151544.664
2025-04-30,1150711.643
2025-05-01,1145921.294
2025-05-02,1152321.359
2025-05-03,1157286.333
2025-05-04,1159273.095
2025-05-05,1161763.473
2025-05-06,1165257.038
2025-05-07,1172547.869
2025-05-08,1159103.224
2025-05-09,1149725.368
2025-05-10,1139510.558
2025-05-11,1144119.509
2025-05-12,1138013.442
2025-05-13,1143972.214
2025-05-14,1138628.773
2025-05-15,1140821.721
2025-05-16,1140828.348
2025-05-17,1141732.558
2025-05-18,1139986.277
2025-05-19,1144203.868
2025-05-20,1147697.235
2025-05-21,1148321.638
2025-05-22,1150443.656
2025-05-23,1146802.978
2025-05-24,1146681.366
2025-05-25,1149696.523
2025-05-26,1149112.431
2025-05-27,1152320.916
2025-05-28,1145763.362
2025-05-29,1145929.967
2025-05-30,1159379.606
2025-05-31,1159307.535
2025-06-01,1155686.948
2025-06-02,1154179.446
2025-06-03,1150883.337
2025-06-04,1159233.868
2025-06-05,1166472.906
2025-06-06,1161307.196
2025-06-07,1162613.935
2025-06-08,1159767.044
2025-06-09,1158318.301
2025-06-10,1154707.514
2025-06-11,1155415.801
2025-06-12,1158090.702
2025-06-13,1169464.412
2025-06-14,1166224.064
2025-06-15,1169160.346
2025-06-16,1170090.651
2025-06-17,1174185.735
2025-06-18,1171312.462
2025-06-19,1179182.394
2025-06-20,1179683.523
2025-06-21,1181642.299
2025-06-22,1183165.086
2025-06-23,1173866.687
2025-06-24,1168469.485
2025-06-25,1178595.315
2025-06-26,1182170.052
2025-06-27,1183439.23
2025-06-28,1176787.145
2025-06-29,1176060.029
2025-06-30,1184804.322
2025-07-01,1190870.313
2025-07-02,1186210.46
2025-07-03,1184336.691
2025-07-04,1188821.993
2025-07-05,1189054.895
2025-07-06,1190184.133
2025-07-07,1193179.719
2025-07-08,1191734.537
2025-07-09,1190116.585
2025-07-10,1188177.614
2025-07-11,1194829.479
2025-07-12,1201690.006
2025-07-13,1197875.388
2025-07-14,1190312.712
2025-07-15,1180657.267
2025-07-16,1191698.683
2025-07-17,1213829.159
2025-07-18,1205927.295
2025-07-19,1198937.221
2025-07-20,1193070.093
2025-07-21,1193920.717
2025-07-22,1198802.526
2025-07-23,1205230.776
2025-07-24,1212527.522
2025-07-25,1206261.136
2025-07-26,1205163.462
2025-07-27,1213211.913
2025-07-28,1219575.735
2025-07-29,1226040.519
2025-07-30,1230714.274
2025-07-31,1230885.884
2025-08-01,1225698.905
2025-08-02,1220221.979
2025-08-03,1227203.465
2025-08-04,1230229.727
2025-08-05,1232626.841
2025-08-06,1234512.285
2025-08-07,1233931.471
2025-08-08,1234807.586
2025-08-09,1230876.842
2025-08-10,1234416.588
2025-08-11,1245805.437
2025-08-12,1251111.849
2025-08-13,1251661.177
2025-08-14,1260762.531
2025-08-15,1254099.449
2025-08-16,1249837.37
2025-08-17,1256931.273
2025-08-18,1263023.305
2025-08-19,1262055.116
2025-08-20,1271207.364
2025-08-21,1266580.73
2025-08-22,1279566.535
2025-08-23,1280924.828
2025-08-24,1282802.801
2025-08-25,1278876.842
2025-08-26,1280539.954
2025-08-27,1278981.276
2025-08-28,1280625.713
2025-08-29,1282429.728
2025-08-30,1279526.243
2025-08-31,1279383.68
2025-09-01,1279488.754
2025-09-02,1283212.561
2025-09-03,1287058.071
2025-09-04,1286254.778
2025-09-05,1285818.537
2025-09-06,1285630.957
2025-09-07,1285981.497
2025-09-08,1276722.864
2025-09-09,1276247.148
2025-09-10,1275231.511
2025-09-11,1278446.611
2025-09-12,1282078.3
2025-09-13,1281464.177
2025-09-14,1287914.036
2025-09-15,1290373.352
2025-09-16,1290327.263
2025-09-17,1293412.786
